,invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Percentage of sales per store
49,INV-16882100032,2019-01-11 00:00:00,2178,Double D Liquor Store,618 Rossville Road,Waukon,52172.0,POINT (-91.473634 43.262114),3,ALLAMAKEE,1081100,Coffee Liqueurs,370,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,1,9.74,0.37,0.09,0.015897841190686282
50,INV-17055600010,2019-01-22 00:00:00,2843,CVS Pharmacy #8526 / Cedar Rapids,4116 Center Pointe Rd,Cedar Rapids,52402.0,POINT (-91.665139 42.020729),57,LINN,1062100,Gold Rum,434,LUXCO INC,45246,Paramount Gold Rum,12,750,4.0,6.0,7,42.0,5.25,1.38,0.06855331930275398
51,INV-17897100064,2019-03-04 00:00:00,4152,Food Land Super Markets,407 W Huron,Missouri Valley,51555.0,POINT (-95.899346 41.557404),43,HARRISON,1062100,Gold Rum,434,LUXCO INC,45247,Paramount Gold Rum,12,1000,4.42,6.63,2,13.26,2.0,0.52,0.02164326223701233
52,INV-18020600032,2019-03-08 00:00:00,3963,Tobacco Hut #14 / Council Bluffs,1925 W Broadway,Council Bluffs,51501.0,POINT (-95.873073 41.261866),78,POTTAWATTA,1062100,Gold Rum,35,BACARDI USA INC,43031,Bacardi Gold Mini,12,500,5.54,8.31,4,33.24,2.0,0.52,0.0542550555624653
53,INV-18204200080,2019-03-18 00:00:00,4829,Central City 2,1501 Michigan Ave,Des Moines,50314.0,POINT (-93.613739 41.60572),77,POLK,1081500,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,180,653.4,180.0,47.55,1.0664937817242726
54,INV-18229400004,2019-03-19 00:00:00,3993,New Star Liquor / W 4th S / Waterloo,1625 West 4th St,Waterloo,50701.0,,7,BLACK HAWK,1062100,Gold Rum,35,BACARDI USA INC,43034,Bacardi Gold,24,375,4.5,6.75,7,47.25,2.62,0.69,0.07712248421559822
55,INV-18227900139,2019-03-19 00:00:00,2571,Hy-Vee Food Store #2 / Waterloo,2181 Logan Ave,Waterloo,50703.0,POINT (-92.337583 42.530476),7,BLACK HAWK,1062100,Gold Rum,35,BACARDI USA INC,43034,Bacardi Gold,24,375,4.5,6.75,1,6.75,0.37,0.09,0.011017497745085461
56,INV-18262300112,2019-03-20 00:00:00,3869,Bootleggin' Barzini's Fin,412  1st Ave,Coralville,52241.0,POINT (-91.565517 41.672672),52,JOHNSON,1062100,Gold Rum,35,BACARDI USA INC,43034,Bacardi Gold,24,375,4.5,6.75,1,6.75,0.37,0.09,0.011017497745085461
57,INV-18280700077,2019-03-21 00:00:00,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314.0,POINT (-91.410401 41.918328),57,LINN,1092100,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.0,7.5,900,6750.0,900.0,237.75,11.01749774508546
58,INV-18341600009,2019-03-25 00:00:00,4867,Speedy Gas N Shop,430 S 35th St,Council Bluffs,51501.0,POINT (-95.902023 41.257663),78,POTTAWATTA,1081100,Coffee Liqueurs,370,PERNOD RICARD USA,67524,Kahlua Coffee,24,375,6.49,9.74,7,68.18,2.62,0.69,0.11128488833480397
